entity_id,display_name,category,pool_id_bech32,ticker,current_active_stake_ada,endpoint_kind,endpoint_value,ip,ptr,asn,as_name,country,physical_country,provider,tier,region
SPO:pool1yc6f3cqsc,HYPER,single_pool,pool1yc6f3cqsc7jfh07hcns64v5cp8720mve870pgxf2wkr3u8l7tse,HYPER,29334810.601564,dns,relay2.hyperlinkpool.kr,116.124.145.145,,9318,"SKB-AS SK Broadband Co Ltd, KR",KR,KR,Other / on-prem,other-or-onprem,cc:KR
SPO:pool1yc6f3cqsc,HYPER,single_pool,pool1yc6f3cqsc7jfh07hcns64v5cp8720mve870pgxf2wkr3u8l7tse,HYPER,29334810.601564,dns,relay3.hyperlinkpool.kr,116.124.145.145,,9318,"SKB-AS SK Broadband Co Ltd, KR",KR,KR,Other / on-prem,other-or-onprem,cc:KR
SPO:pool1h5tldkcwf,ZION,single_pool,pool1h5tldkcwftpnnwj4ygtfd8ts6mxkcv0qyes9tum9hxx27zrjzpf,ZION,0.0,ip,157.245.20.145,157.245.20.145,,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",US,US,DigitalOcean,commodity-vps,cc:US
SPO:pool1g6rm3p769,pool1g6rm3p769,single_pool,pool1g6rm3p7695z7xfhp629hcsj09njun2fnsz03pjrshw8rgs7pluc,,28337.360223,ip,193.29.62.222,193.29.62.222,,63473,"HOSTHATCH - HostHatch, LLC, US",DE,DE,HostHatch,commodity-vps,cc:DE
SPO:pool1n9vs3ye39,ZOOM,single_pool,pool1n9vs3ye3939ae8x6jfkf0unksj7q05zgsk2fnm8lhve95w3j0rs,ZOOM,1402.160582,dns,relays.zoomstakepool.com,,,,,,,Unresolved,unresolved,cc:??
SPO:pool1a6ysvnx24,VIVI,single_pool,pool1a6ysvnx24xsjh2f6ehgmx7yu9q45fd7lsk88v2swxkek7pkxtgp,VIVI,9019148.636769,ip,95.216.155.132,95.216.155.132,static.132.155.216.95.clients.your-server.de,24940,"HETZNER-AS, DE",DE,DE,Hetzner,commodity-vps,hetzner:helsinki
SPO:pool1a6ysvnx24,VIVI,single_pool,pool1a6ysvnx24xsjh2f6ehgmx7yu9q45fd7lsk88v2swxkek7pkxtgp,VIVI,9019148.636769,ip,138.201.116.170,138.201.116.170,static.170.116.201.138.clients.your-server.de,24940,"HETZNER-AS, DE",DE,DE,Hetzner,commodity-vps,hetzner:falkenstein
SPO:pool1quj6cp7w4,FGPX,single_pool,pool1quj6cp7w4tarq7hrcdsjxlgcmnunm2xvnpvmj20l9nplue6rjxx,FGPX,244878.691142,ip,178.119.19.15,178.119.19.15,178-119-19-15.access.telenet.be,6848,"TELENET-AS, BE",BE,BE,Other / on-prem,other-or-onprem,cc:BE
SPO:pool1quj6cp7w4,FGPX,single_pool,pool1quj6cp7w4tarq7hrcdsjxlgcmnunm2xvnpvmj20l9nplue6rjxx,FGPX,244878.691142,ip,141.135.202.113,141.135.202.113,d8d87ca71.access.telenet.be,6848,"TELENET-AS, BE",BE,BE,Other / on-prem,other-or-onprem,cc:BE
SPO:pool1quj6cp7w4,FGPX,single_pool,pool1quj6cp7w4tarq7hrcdsjxlgcmnunm2xvnpvmj20l9nplue6rjxx,FGPX,244878.691142,ip,141.135.202.113,141.135.202.113,d8d87ca71.access.telenet.be,6848,"TELENET-AS, BE",BE,BE,Other / on-prem,other-or-onprem,cc:BE
