entity_id,display_name,category,provider,stake_split_ada
SPO:pool1fuzqy5r9x,247,single_pool,AWS,5573520
SPO:pool1py6q7y3f7,WSKS,single_pool,Other / on-prem,5475912
SPO:pool15k0zeppza,DDOS,single_pool,Contabo,5468023
SPO:pool1hjpax8lf2,GG63,single_pool,Hetzner,5455537
SPO:pool1ztk6dcj2n,IAGL1,single_pool,OVH,5451036
SPO:pool18xjkr4xps,TAM,single_pool,IONOS,5417544
SPO:pool1qqqq4md2r,MASTR,single_pool,OVH,5409667
SPO:pool1k7zrx5rw6,TREFI,single_pool,Other / on-prem,5306376
SPO:pool1k7zrx5rw6,TREFI,single_pool,Unresolved,5306376
SPO:pool1qkd5y9azf,AMOON,single_pool,Other / on-prem,5246098
SPO:pool1qkd5y9azf,AMOON,single_pool,Oracle Cloud,5246098
SPO:pool1wun8t7nt4,BCW,single_pool,GCP,5131669
SPO:pool1pgmuramw9,ATRMN,single_pool,Other / on-prem,5126539
SPO:pool1uq8l23430,PLTUS,single_pool,Hostinger,5082580
SPO:pool1qqlf3epa7,CPS,single_pool,Hetzner,5058636
SPO:pool1522rtve5z,1112,single_pool,AWS,4977883
SPO:pool1l3wdq3cec,PIVT,single_pool,Other / on-prem,4945599
SPO:pool18gysxqfwz,pool18gysxqfwz,single_pool,Other / on-prem,4839632
SPO:pool16cerhwlk8,PLNGT,single_pool,AWS,4808054
SPO:pool1mcwcfl96e,MYB,single_pool,Other / on-prem,4798865
SPO:pool1cew2q6pge,ARRA,single_pool,GCP,4791152
SPO:pool1df9rj4n0t,VEGAS,single_pool,Other / on-prem,4594865
SPO:pool1rpjjz68km,DEW,single_pool,Other / on-prem,4590059
SPO:pool19ae6xhzss,GENE,single_pool,Other / on-prem,4585033
SPO:pool106p2jjwuw,VOLT,single_pool,Azure,4469898
SPO:pool1etfxpqw74,KYBK,single_pool,Other / on-prem,4349420
SPO:pool1fh4sh2tel,CANUK,single_pool,Hetzner,4337355
SPO:pool165zu45p48,SWEET,single_pool,Other / on-prem,4223762
SPO:pool1drv9qkh2t,NIMUE,single_pool,Other / on-prem,4203425
SPO:pool1mg37s4w4u,TSC,single_pool,DigitalOcean,4148106
SPO:pool1lnk67xp7j,WIRA,single_pool,Hetzner,4141411
SPO:pool1fyp482nts,KYSN,single_pool,Hetzner,4079540
SPO:pool18j287g2sc,APE,single_pool,Unresolved,4073491
SPO:pool16rahfu936,4KOMA,single_pool,Contabo,4066320
SPO:pool16rahfu936,4KOMA,single_pool,Other / on-prem,4066320
SPO:pool1a3kdettzv,LEAD,single_pool,Other / on-prem,3935160
SPO:pool1a3kdettzv,LEAD,single_pool,Oracle Cloud,3935160
SPO:pool1vs689gkmq,VAMP,single_pool,Akamai/Linode,3920708
SPO:pool1vs689gkmq,VAMP,single_pool,Other / on-prem,3920708
SPO:pool1vs689gkmq,VAMP,single_pool,AWS,3920708
SPO:pool1vs689gkmq,VAMP,single_pool,GCP,3920708
SPO:pool1j6490a90q,CETH,single_pool,GCP,3918331
SPO:pool1hezakp5r2,HIT,single_pool,Other / on-prem,3865192
SPO:pool1y9rdlv5tk,SPP,single_pool,Hetzner,3837816
SPO:pool1jjry6f6q0,STACK,single_pool,HiVelocity,3800706
SPO:pool1jjry6f6q0,STACK,single_pool,OVH,3800706
SPO:pool1jjry6f6q0,STACK,single_pool,Hetzner,3800706
SPO:pool1nhls8e9sw,DAN,single_pool,DigitalOcean,3796617
SPO:pool19q034g07k,HEDGE,single_pool,Contabo,3795683
SPO:pool1mfgqn8n65,CSN2,single_pool,GCP,3795401
SPO:pool1hqwxta8p0,LUKE,single_pool,Contabo,3752865
SPO:pool1peayemzlk,AID1,single_pool,Other / on-prem,3749474
SPO:pool1dmqzwuql5,BNTY1,single_pool,Other / on-prem,3733084
SPO:pool1dmqzwuql5,BNTY1,single_pool,DigitalOcean,3733084
SPO:pool1h3aejp7fl,BEAST,single_pool,DigitalOcean,3689176
SPO:pool1429egqgv6,pool1429egqgv6,single_pool,Other / on-prem,3594327
SPO:pool10pd44d655,RDB,single_pool,Contabo,3553619
SPO:pool1q9kwa675j,pool1q9kwa675j,single_pool,GCP,3545838
SPO:pool1q9kwa675j,pool1q9kwa675j,single_pool,Other / on-prem,3545838
