epoch_no,total_staked,total_pools,total_delegations,production_threshold,productive_pools,productive_stake,productive_delegations,subthreshold_pools,subthreshold_stake,subthreshold_delegations
416,22759595184076732,3103,1281505,1053684962226,1068,22557131101973271,1236412,2035,202464082103461,45093
417,22842302638514721,3104,1282885,1057514011042,1073,22641893656785216,1238956,2031,200408981729505,43929
418,22760011177229524,3093,1283965,1053704221168,1070,22557442784402293,1238857,2023,202568392827231,45108
419,22729170693675721,3097,1285466,1052276421004,1073,22527884049778817,1239671,2024,201286643896904,45795
420,22735339826891192,3092,1286487,1052562029023,1070,22532517248182057,1240368,2022,202822578709135,46119
421,22754191715164150,3091,1287395,1053434801628,1076,22552951308533894,1241617,2015,201240406630256,45778
422,22738857806901471,3096,1287854,1052724898468,1078,22537231390841662,1242544,2018,201626416059809,45310
423,22773418178320278,3093,1288794,1054324915663,1082,22573038869982613,1243345,2011,200379308337665,45449
424,22711253346600455,3095,1289962,1051446914194,1082,22509625960953575,1244257,2013,201627385646880,45705
425,22676707531012130,3095,1290700,1049847570880,1083,22474064817172003,1245006,2012,202642713840127,45694
426,22732516900656160,3095,1291373,1052431337993,1087,22532842474476228,1246696,2008,199674426179932,44677
427,22579357645295976,3099,1292159,1045340631727,1091,22380081247088108,1246337,2008,199276398207868,45822
428,22632865782292962,3093,1293363,1047817860291,1091,22431070595726697,1247463,2002,201795186566265,45900
429,22662176862965439,3103,1294582,1049174854767,1091,22463045345646667,1248230,2012,199131517318772,46352
430,22686201305546085,3104,1295429,1050287097479,1090,22484818244105727,1249064,2014,201383061440358,46365
431,22674711468934312,3105,1296252,1049755160599,1086,22474562191217413,1249926,2019,200149277716899,46326
432,22695615637522079,3103,1297340,1050722946182,1081,22493183840653247,1250591,2022,202431796868832,46749
433,22739705233017050,3097,1299073,1052764131158,1083,22538146006361794,1252355,2014,201559226655256,46718
434,22870877219041007,3099,1300878,1058836908289,1083,22666815336535600,1254151,2016,204061882505407,46727
435,22726035890487094,3099,1302169,1052131291226,1082,22523596968231861,1255135,2017,202438922255233,47034
436,22679217241348026,3088,1302889,1049963761174,1084,22480718206696540,1257500,2004,198499034651486,45389
437,22701589918366356,3081,1303859,1050999533258,1091,22504183318216161,1258302,1990,197406600150195,45557
438,22737914126995122,3080,1305056,1052681209583,1091,22542197299842282,1259436,1989,195716827152840,45620
439,22801871441552063,3079,1306661,1055642196368,1092,22606119232690793,1261094,1987,195752208861270,45567
440,22514867910780042,3076,1307467,1042354995869,1065,22317312676785463,1261340,2011,197555233994579,46127
441,22955109945068621,3074,1308308,1062736571531,1060,22752736081757202,1261985,2014,202373863311419,46323
