epoch_no,reserve,treasury,circulating,utxo,unclaimed_rewards,deposits
477,8228975392411645,1487521974453746,35283502633134609,34589346619749309,689710393923998,4343538000000
478,8214994323137691,1492348596544412,35292657080317897,34594893991416140,693324154219022,4344806000000
479,8201129718611947,1497165313551009,35301704967837044,34600155389094060,697101679396184,4349418000000
480,8187070476979147,1502038291741991,35310891231278862,34608125375296776,698324508860194,4352816000000
481,8172897979043621,1506941118966234,35320160901990145,34613168878569303,702553539247968,4354472000000
482,8158797579880842,1511816216675332,35329386203443826,34618588753051309,706363650564170,4357910000000
483,8144675912835745,1516694508210497,35338629578953758,34623906306518042,710284252189705,4363494000000
484,8130526817894675,1521584234785002,35347888947320323,34627686791125735,715763346247127,4363692000000
485,8116368193817815,1526471044644533,35357160761537652,34635048622947455,717665051660078,4368316000000
486,8102288065038969,1531331315641697,35366380619319334,34640951147104094,720976427118057,4369878000000
487,8088437919200592,1536114019459084,35375448061340324,34647930578792391,723065213792168,4370430000000
488,8074565826556158,1540899754794546,35384534418649296,34655929052652481,724168259489564,4368600000000
489,8060828529222149,1545637399983834,35393534070794017,34662746129127353,726349705816707,4368728000000
490,8047010081468560,1550401607761749,35402588310769691,34670031476329898,728109366663018,4368460000000
491,8033172145504738,1555176058996221,35411651795499041,34685681893313969,721530777975748,4368708000000
492,8019423454847030,1559918119894833,35420658425258137,34694866605453306,721350664098996,4369076000000
493,8005883735416310,1564590697784215,35429525566799475,34699204535120961,725809206236798,4368902000000
494,7992233702329513,1569327676418076,35438438621252411,34704862175319786,729063878111897,4371130000000
495,7978730256074581,1574019542289399,35447250201636020,34712244332217889,730537672817308,4370532000000
496,7965004592410008,1476619445875690,35558375961714302,34717984737143991,835937554125739,4371646000000
497,7951386216629221,1481317014105581,35567296769265198,34823801321080772,739032145292249,4373812000000
498,7937815230851221,1486007059665745,35576177709483034,34830004888343396,741719774637370,4374584000000
499,7924170545862647,1490725021530841,35585104432606512,34835924249386237,744737949024087,4375222000000
500,7910589154077874,1495403947921756,35594006898000370,34840305882765328,749264597077332,4374202000000
501,7897001506315015,1500074612179231,35602923881505754,34848077512616517,750405012835506,4373828000000
502,7883390526253263,1504763227266060,35611846246480677,34852706699159620,754700016353249,4371308000000
503,7869740167788845,1509473319875466,35620786512335689,34858274848558305,758083573017604,4372838000000
504,7856412006012711,1514131702485276,35629456291502013,34869371209408670,755662374854538,4372242000000
505,7842889284966704,1518869032724501,35638241682308795,34898387366801994,735432583821728,4371596000000
506,7829573342038784,1523532096285944,35646894561675272,34903866917785253,738598721284158,4371222000000
507,7816251180544575,1528154947846618,35655593871608807,34914088331252698,737075132152558,4370916000000
508,7802782712972544,1532828945705969,35664388341321487,34920087054112781,739573454897792,4611738000000
509,7789809997399209,1537376975934454,35672813026666337,34928082918614374,739980852519560,4656148000000
510,7776682557725743,1541947683854337,35681369758419920,34934284640363525,742343134920726,4672322000000
511,7763466534897369,1546537960700287,35689995504402344,34939946172635956,745131679115843,4785496000000
512,7750347819157560,1551120138892345,35698532041950095,34949383758068676,744291087879606,4791220000000
513,7737238847635656,1555688467465569,35707072684898775,34956414642003962,745796852461755,4792958000000
514,7724114066210540,1560274087294584,35715611846494876,34961093448080664,749671152803877,4794548000000
515,7710840811535124,1564893381140133,35724265807324743,34967190801543885,752217614709019,4798824000000
516,7697681960525046,1569476292253072,35732841747221882,34974248103681820,753731870913347,4802134000000
517,7684715051166790,1574027226901630,35741257721931580,34980974699724316,755404880594765,4812434000000
518,7671724883246433,1578692757476585,35749582359276982,34986894172872854,757902857024590,4715864000000
519,7658581735905745,1583319123795732,35758099140298523,34995041871644768,758163741328133,4820934000000
520,7645768723008280,1587845138859041,35766386138132679,35002992145926655,758393097072992,4928194000000
521,7633094000777687,1592331641228984,35774574357993329,35018528521677057,750986743957242,4933744000000
522,7620302863773952,1596870443401439,35782826692824609,35033776787310195,744087709124872,4836090000000
523,7607610747076201,1601367031103590,35791022221820209,35052930435626512,732971954435332,4939218000000
524,7595003223306721,1605867363924094,35799129412769185,35073778164292411,720202556380216,4947906000000
525,7582597266023565,1610327841943309,35807074892033126,35085884197246362,716059158123988,4952940000000
526,7570016745300604,1614845026268105,35815138228431291,35102215549811489,707962983972354,4748236000000
527,7557630419439671,1619326627836757,35823042952723572,35112728715277787,705371594371509,4752622000000
528,7545301818317184,1623777941276573,35830920240406243,35119317307650753,706692635722719,4751886000000
529,7533008055566611,1628218659074146,35838773285359243,35126169612193782,707711491856568,4760094000000
530,7520543391434932,1632716817250127,35846739791314941,35131891445179655,709962325535426,4772190000000
531,7508122101528199,1637199823678645,35854678074793156,35139781273913494,710026718212986,4766432000000
532,7495773911585373,1641656329184830,35862569759229797,35151153812590654,706535415874895,4773144000000
533,7483332054370326,1646135439887110,35870532505742564,35158211529300041,707444102244278,4784806000000
534,7470819003002992,1650631985932748,35878549011064260,35164286308839218,709375961402344,4788906000000
535,7458430104616144,1655096893563009,35886473001820847,35171343597715164,710200653040365,4793608000000
536,7445967855869507,1659589823833183,35894442320297310,35180226133471308,709311059521156,4802186000000
537,7433694305914142,1664007113173757,35902298580912101,35185844017058276,711652597103589,4708582000000
538,7421230710104429,1668494670404460,35910274619491111,35193500774442306,711827827653839,4828176000000
539,7408926927280507,1672936804237521,35918136268481972,35197202831964372,716016143204693,4840824000000
540,7396826608934598,1677291581661325,35925881809404077,35201193525868751,719663384255653,4956984000000
541,7384491692705295,1681719994417422,35933788312877283,35204786637286954,723957598516741,4967574000000
